gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
TMEM90B,TCGA-COAD,0.2787240661777259,log2_fold_change,0.0216201497476329,0.1827115794918213,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.2956778948729553,10558,1.0
NLRC4,TCGA-COAD,-0.9609511171755072,log2_fold_change,4.860750990324757e-11,0.6747268377836685,0.007956,0.007956,available,,,0.0,no_support,2,0.5,available,NLR family CARD domain containing 4,2,0.2956707094459171,10559,1.0
CSRNP2,TCGA-COAD,0.2787091250213187,log2_fold_change,2.2447778068563e-09,0.1826469257128079,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,cysteine and serine rich nuclear protein 2,0,0.29566173142820196,10560,1.0
C11orf20,TCGA-COAD,0.9814444226505205,log2_fold_change,7.162509089309976e-10,0.6826145988233012,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,,0,0.2956536497058253,10561,1.0
CYC1,TCGA-COAD,-0.2784599266587069,log2_fold_change,0.0002423064818035,0.18258227193379453,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,cytochrome c1,3,0.29564556798344865,10562,1.0
SLC5A5,TCGA-COAD,-0.2783394507931092,log2_fold_change,0.0364442450995759,0.18251761815478115,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,solute carrier family 5 member 5,3,0.2956294045386953,10563,1.0
PI4KB,TCGA-COAD,-0.2783097902097893,log2_fold_change,8.014066739732686e-20,0.18245296437576777,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,phosphatidylinositol 4-kinase beta,1,0.29561324109394194,10564,1.0
ATP6V1A,TCGA-COAD,-0.278297288077777,log2_fold_change,7.49930662108109e-08,0.1823883105967544,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,ATPase H+ transporting V1 subunit A,6,0.2955970776491886,10565,1.0
HTR6,TCGA-COAD,-0.2782423759167661,log2_fold_change,0.0023347340491948,0.182323656817741,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,5-hydroxytryptamine receptor 6,2,0.2955809142044352,10566,1.0
BACE2,TCGA-COAD,0.9741310847688904,log2_fold_change,1.4708485244173964e-12,0.6800931014417793,0.00222,0.00222,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,beta-secretase 2,0,0.2955782753604448,10567,1.0
DNAJB13,TCGA-COAD,0.2782331741429301,log2_fold_change,0.0042075615629713,0.1822590030387276,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,DnaJ heat shock protein family (Hsp40) member B13,0,0.2955647507596819,10568,1.0
EXOSC7,TCGA-COAD,0.9642908493945086,log2_fold_change,3.5632403869766386e-30,0.6761492209219628,0.006105,0.006105,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,exosome component 7,8,0.2955635552304907,10569,1.0
SPIC,TCGA-COAD,-0.2779224117346068,log2_fold_change,0.0087069615118744,0.18219434925971423,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,Spi-C transcription factor,0,0.29554858731492856,10570,1.0
PRSS35,TCGA-COAD,0.277842256523964,log2_fold_change,0.0241506041448572,0.18212969548070085,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,serine protease 35,0,0.2955324238701752,10571,1.0
ABHD14B,TCGA-COAD,-0.2774141224629005,log2_fold_change,1.3251694806338809e-05,0.1819357341436607,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,abhydrolase domain containing 14B,1,0.2954839335359152,10572,1.0
RAD23B,TCGA-COAD,0.2773229490022153,log2_fold_change,2.2567482472252282e-14,0.1818710803646473,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,RAD23 nucleotide excision repair protein B,4,0.2954677700911618,10573,1.0
FLJ25758,TCGA-COAD,0.2772599863551083,log2_fold_change,6.174905166801251e-09,0.18180642658563392,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.29545160664640846,10574,1.0
FKBP9L,TCGA-COAD,0.979252532833021,log2_fold_change,5.362523006301085e-16,0.6817740996961272,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,,0,0.2954435249240318,10575,1.0
E2F6,TCGA-COAD,0.9673699897663336,log2_fold_change,2.855318449500567e-27,0.678024180513351,0.0037,0.0037,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,E2F transcription factor 6,2,0.29543104512833773,10576,1.0
RDH12,TCGA-COAD,0.9778591932457787,log2_fold_change,1.4256373905921944e-11,0.681580138359087,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,retinol dehydrogenase 12,2,0.2953950345897718,10577,1.0
HOXD8,TCGA-COAD,-0.9774595343680712,log2_fold_change,1.6533275123215842e-12,0.6814508308010603,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,homeobox D8,0,0.29536270770026507,10578,1.0
GRB2,TCGA-COAD,-0.2725563960429813,log2_fold_change,5.759777466873791e-14,0.1773453158337105,0.00407,0.00407,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,growth factor receptor bound protein 2,97,0.2953538289584276,10579,1.0
PRTFDC1,TCGA-COAD,0.2767330547501281,log2_fold_change,0.0021259390651126,0.18135385013254024,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,phosphoribosyl transferase domain containing 1,0,0.29533846253313506,10580,1.0
C1orf96,TCGA-COAD,0.9773822872249704,log2_fold_change,1.4856907278828688e-24,0.6813215232430335,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,,0,0.29533038081075835,10581,1.0
CLCN6,TCGA-COAD,-0.2766926232304261,log2_fold_change,0.0031404119639623,0.18128919635352686,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,Cl-/H+ antiporter 6,2,0.2953222990883817,10582,1.0
RECQL5,TCGA-COAD,0.2748553300358196,log2_fold_change,5.305548367414184e-05,0.17960819809917888,0.00148,0.00148,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,RecQ like helicase 5,0,0.29527204952479474,10583,1.0
OSBPL5,TCGA-COAD,-0.2763195889476364,log2_fold_change,8.536778071484084e-05,0.18090127367944656,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,oxysterol binding protein like 5,1,0.29522531841986166,10584,1.0
H3F3C,TCGA-COAD,0.276231613508445,log2_fold_change,0.0001461635895259,0.18083661990043318,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.2952091549751083,10585,1.0
