gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
OR5E1P,TCGA-LUAD,-0.4734043903241731,log2_fold_change,1.350432291314521e-07,0.42289457267623204,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,olfactory receptor family 5 subfamily E member 1 pseudogene,0,0.355723643169058,7714,1.0
BAT2,TCGA-LUAD,0.473354632219845,log2_fold_change,1.3603071692455267e-11,0.4228321896444167,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3557080474111042,7715,1.0
JMJD7-PLA2G4B,TCGA-LUAD,-0.4733252756294241,log2_fold_change,5.144479419644275e-13,0.4227698066126014,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,JMJD7-PLA2G4B readthrough,0,0.35569245165315033,7716,1.0
APLP1,TCGA-LUAD,0.4733106861938454,log2_fold_change,0.0005598110854862,0.422707423580786,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,amyloid beta precursor like protein 1,0,0.3556768558951965,7717,1.0
GSK3B,TCGA-LUAD,-0.2863533783116665,log2_fold_change,1.0214731622799941e-07,0.22694946974422958,0.195646,0.195646,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,glycogen synthase kinase 3 beta,26,0.3556488674360574,7718,1.0
IQCH,TCGA-LUAD,-0.4686064209313807,log2_fold_change,0.0037461900594218,0.4187772925764192,0.0037,0.0037,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,IQ motif containing H,0,0.3556193231441048,7719,1.0
TRAT1,TCGA-LUAD,-0.4608721704788543,log2_fold_change,0.0033259494495981,0.4120399251403618,0.010433,0.010433,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,T cell receptor associated transmembrane adaptor 1,4,0.35561823128509046,7720,1.0
LRRC55,TCGA-LUAD,-0.4726630113542867,log2_fold_change,0.0063841122398939,0.42245789145352464,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,leucine rich repeat containing 55,0,0.35561447286338116,7721,1.0
DUSP4,TCGA-LUAD,1.5139188546980415,log2_fold_change,1.5554043886554918e-31,0.8445414847161572,0.077863,0.077863,available,unprognostic - unfavorable,unfavorable,0.0,available,2,0.5,available,dual specificity phosphatase 4,3,0.3556011211790393,7722,1.0
C1orf168,TCGA-LUAD,-2.164319427349021,log2_fold_change,2.0395103369318314e-20,0.9223955084217093,0.0,0.0,no_support,,,0.0,no_support,2,0.5,available,,0,0.3555988771054273,7723,1.0
LCORL,TCGA-LUAD,-0.4725798091163407,log2_fold_change,2.474066225350112e-15,0.4223955084217093,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,ligand dependent nuclear receptor corepressor like,0,0.3555988771054273,7724,1.0
RRAGA,TCGA-LUAD,-0.4312002435412214,log2_fold_change,2.000376142712733e-23,0.3845913911416095,0.037743,0.037743,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,Ras related GTP binding A,8,0.3555835977854024,7725,1.0
PABPN1,TCGA-LUAD,0.4723689879874904,log2_fold_change,1.0064817883968952e-18,0.42220835932626327,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,poly(A) binding protein nuclear 1,8,0.35555208983156583,7726,1.0
RAPGEF6,TCGA-LUAD,-0.4722102616422585,log2_fold_change,1.685884063832858e-07,0.42208359326263256,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,Rap guanine nucleotide exchange factor 6,0,0.35552089831565814,7727,1.0
CSRNP2,TCGA-LUAD,0.4720193351982882,log2_fold_change,8.299651605790228e-20,0.42195882719900185,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,cysteine and serine rich nuclear protein 2,0,0.35548970679975045,7728,1.0
BPI,TCGA-LUAD,-0.4718112785914108,log2_fold_change,0.0173294329569514,0.4218340611353712,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,bactericidal permeability increasing protein,3,0.3554585152838428,7729,1.0
PKN3,TCGA-LUAD,-0.471740582524272,log2_fold_change,4.4994271660443226e-11,0.4217716781035558,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,protein kinase N3,4,0.35544291952588897,7730,1.0
MRPL41,TCGA-LUAD,0.4717294125390836,log2_fold_change,4.932344427183241e-09,0.4217092950717405,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,mitochondrial ribosomal protein L41,4,0.3554273237679351,7731,1.0
TAZ,TCGA-LUAD,0.4716709659371396,log2_fold_change,6.850134474683597e-17,0.4215845290081098,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.35539613225202743,7732,1.0
FOXA2,TCGA-LUAD,-1.701115369425704,log2_fold_change,3.0503165998628918e-33,0.8719276356830942,0.049592,0.049592,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,forkhead box A2,8,0.35537990892077354,7733,1.0
ZNF559,TCGA-LUAD,-0.4713622478196484,log2_fold_change,2.657265771973995e-12,0.42139737991266374,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,zinc finger protein 559,1,0.35534934497816595,7734,1.0
TSPAN19,TCGA-LUAD,-2.1529963666282703,log2_fold_change,3.467381159934636e-07,0.921272613849033,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,2,0.5,available,tetraspanin 19,0,0.35531815346225826,7735,1.0
FREM2,TCGA-LUAD,-2.0446326213592245,log2_fold_change,1.0829836428416496e-46,0.9116656269494697,0.009595,0.009595,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,FRAS1 related extracellular matrix 2,0,0.35531515673736747,7736,1.0
ATP6V1B1,TCGA-LUAD,-0.4696935066644734,log2_fold_change,0.0423226641712832,0.4197130380536494,0.00148,0.00148,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,ATPase H+ transporting V1 subunit B1,5,0.3552982595134123,7737,1.0
