gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
PPME1,TCGA-BRCA,0.5358797773832951,log2_fold_change,4.131779904527297e-65,0.504356185783813,0.026344,0.026344,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,protein phosphatase methylesterase 1,1,0.3826750464459533,6372,1.0
ACOT2,TCGA-BRCA,-0.5453506093172766,log2_fold_change,9.42353113489403e-09,0.5118067656071622,0.018851,0.018851,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,acyl-CoA thioesterase 2,4,0.38266444140179057,6373,1.0
C12orf26,TCGA-BRCA,-0.5708865182555298,log2_fold_change,1.4998032166161733e-30,0.5306134711290031,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3826533677822508,6374,1.0
SFI1,TCGA-BRCA,0.5657095907498917,log2_fold_change,4.959893784324975e-10,0.5268280958961725,0.0037,0.0037,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,SFI1 centrin binding protein,7,0.38263202397404317,6375,1.0
CCDC42B,TCGA-BRCA,0.570713935134098,log2_fold_change,3.5141643399824142e-09,0.5304933004866911,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38262332512167274,6376,1.0
RB1,TCGA-BRCA,-0.4260008356122782,log2_fold_change,2.026565073274657e-20,0.41278615634200566,0.117676,0.117676,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,RB transcriptional corepressor 1,18,0.3826155390855014,6377,1.0
KRT2,TCGA-BRCA,0.5667162148762974,log2_fold_change,1.4534680588010789e-18,0.5277293757135132,0.00259,0.00259,available,,,0.0,no_support,3,1.0,available,keratin 2,2,0.3825798439283783,6378,1.0
SPANXB2,TCGA-BRCA,0.5706498352764318,log2_fold_change,1.0081756613569871e-26,0.530313044523223,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38257826113080573,6379,1.0
ANKRD12,TCGA-BRCA,-0.5635972716659463,log2_fold_change,4.221515197620237e-17,0.5252658775461155,0.005047,0.005047,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,ankyrin repeat domain 12,0,0.3825782193865289,6380,1.0
PLEKHA8,TCGA-BRCA,0.5654283076652433,log2_fold_change,2.1226571930036013e-27,0.5267079252538605,0.003515,0.003515,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,pleckstrin homology domain containing A8,2,0.3825557313134651,6381,1.0
HCFC1R1,TCGA-BRCA,0.5703887140366852,log2_fold_change,1.1711028355655012e-16,0.5301928738809109,0.0,0.0,no_support,unprognostic - favorable,favorable,0.0,available,3,1.0,available,host cell factor C1 regulator 1,0,0.3825482184702277,6382,1.0
HNRNPU,TCGA-BRCA,0.4766506325065194,log2_fold_change,3.7433265391696127e-53,0.45550681968395124,0.074674,0.074674,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,heterogeneous nuclear ribonucleoprotein U,5,0.3825452049209878,6383,1.0
TRIM37,TCGA-BRCA,0.4917781277487254,log2_fold_change,2.5095891550225245e-43,0.4689058463017485,0.06127,0.06127,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,tripartite motif containing 37,1,0.38254396157543713,6384,1.0
ZNF525,TCGA-BRCA,0.5698841513537714,log2_fold_change,8.813043465551961e-13,0.5299525325962867,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,zinc finger protein 525,0,0.3824881331490717,6385,1.0
G6PC2,TCGA-BRCA,-0.5648635481136755,log2_fold_change,2.405700486053237e-08,0.5262272426846122,0.00368,0.00368,available,,,0.0,no_support,3,1.0,available,glucose-6-phosphatase catalytic subunit 2,1,0.382476810671153,6386,1.0
LOC646999,TCGA-BRCA,-0.5698732971901035,log2_fold_change,2.0704231386908032e-22,0.5298924472751307,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,akirin 1 pseudogene,0,0.3824731118187827,6387,1.0
